Date,Average Sale Price
Jan-13,399224.00
Feb-13,425518.00
Mar-13,458377.00
Apr-13,490436.00
May-13,502805.00
Jun-13,513290.00
Jul-13,510243.00
Aug-13,510367.00
Sep-13,504349.00
Oct-13,512461.00
Nov-13,502648.00
Dec-13,519313.00
Jan-14,506942.00
Feb-14,550774.00
Mar-14,577303.00
Apr-14,584968.00
May-14,602790.00
Jun-14,603548.00
Jul-14,598312.00
Aug-14,603672.00
Sep-14,599642.00
Oct-14,592646.00
Nov-14,591921.00
Dec-14,585351.00
Jan-15,564382.00
Feb-15,579593.00
Mar-15,608772.00
Apr-15,619688.00
May-15,632510.00
Jun-15,637955.00
Jul-15,622832.00
Aug-15,621774.00
Sep-15,611887.00
Oct-15,615609.00
Nov-15,627323.00
Dec-15,618074.00
Jan-16,600896.00
Feb-16,606789.00
Mar-16,626524.00
Apr-16,643730.00
May-16,662811.00
Jun-16,658646.00
Jul-16,645903.00
Aug-16,644958.00
Sep-16,640533.00
Oct-16,656028.00
Nov-16,649316.00
Dec-16,643212.00
Jan-17,626634.00
Feb-17,648284.00
Mar-17,658461.00
Apr-17,685472.00
May-17,704282.00
Jun-17,714223.00
Jul-17,701269.00
Aug-17,687907.00
Sep-17,702111.00
Oct-17,699194.00
Nov-17,718962.00
Dec-17,700584.00
Jan-18,666527.00
Feb-18,721095.00
Mar-18,743278.00
Apr-18,759058.00
May-18,770304.00
Jun-18,763023.00
Jul-18,750526.00
Aug-18,738881.00
Sep-18,742417.00
Oct-18,743860.00
Nov-18,736009.00
Dec-18,705311.00
Jan-19,684518.00
Feb-19,694130.00
Mar-19,727192.00
Apr-19,757450.00
May-19,763624.00
Jun-19,764344.00
Jul-19,765000.00
Aug-19,744770.00
Sep-19,734491.00
Oct-19,761078.00
Nov-19,751777.00
Dec-19,764445.00
Jan-20,742625.00
Feb-20,752144.00
Mar-20,769929.00
Apr-20,746882.00
May-20,747554.00
Jun-20,794806.00
Jul-20,822421.00
Aug-20,845845.00
Sep-20,877533.00
Oct-20,879277.00
Nov-20,865619.00
Dec-20,868081.00
Jan-21,840839.00
Feb-21,904341.00
Mar-21,939418.00
Apr-21,1017456.00
May-21,1029022.00
Jun-21,1046524.00
Jul-21,1013922.00
Aug-21,1002895.00
Sep-21,1000225.00
Oct-21,1015790.00
Nov-21,1017777.00
Dec-21,1030193.00
