Date,Average Sale Price
Jan-13,486355.00
Feb-13,531814.00
Mar-13,568158.00
Apr-13,618226.00
May-13,624128.00
Jun-13,648444.00
Jul-13,640582.00
Aug-13,650164.00
Sep-13,626193.00
Oct-13,656296.00
Nov-13,626268.00
Dec-13,654639.00
Jan-14,624099.00
Feb-14,684816.00
Mar-14,699064.00
Apr-14,681018.00
May-14,707456.00
Jun-14,704816.00
Jul-14,712056.00
Aug-14,713746.00
Sep-14,706752.00
Oct-14,707076.00
Nov-14,700963.00
Dec-14,703934.00
Jan-15,696794.00
Feb-15,688880.00
Mar-15,706300.00
Apr-15,742363.00
May-15,736598.00
Jun-15,759942.00
Jul-15,734699.00
Aug-15,727864.00
Sep-15,711659.00
Oct-15,726294.00
Nov-15,730404.00
Dec-15,747215.00
Jan-16,732625.00
Feb-16,747338.00
Mar-16,759084.00
Apr-16,761640.00
May-16,785396.00
Jun-16,783150.00
Jul-16,778776.00
Aug-16,774901.00
Sep-16,759873.00
Oct-16,781631.00
Nov-16,791473.00
Dec-16,770917.00
Jan-17,797473.00
Feb-17,801356.00
Mar-17,796166.00
Apr-17,815406.00
May-17,843981.00
Jun-17,858068.00
Jul-17,852821.00
Aug-17,821354.00
Sep-17,838790.00
Oct-17,819935.00
Nov-17,847052.00
Dec-17,829629.00
Jan-18,811773.00
Feb-18,885636.00
Mar-18,876380.00
Apr-18,893906.00
May-18,908497.00
Jun-18,905766.00
Jul-18,878141.00
Aug-18,888996.00
Sep-18,878010.00
Oct-18,876430.00
Nov-18,877063.00
Dec-18,842463.00
Jan-19,836753.00
Feb-19,840565.00
Mar-19,872156.00
Apr-19,880305.00
May-19,887868.00
Jun-19,895522.00
Jul-19,938745.00
Aug-19,904253.00
Sep-19,877755.00
Oct-19,919271.00
Nov-19,876710.00
Dec-19,944947.00
Jan-20,913731.00
Feb-20,890226.00
Mar-20,922705.00
Apr-20,903573.00
May-20,866786.00
Jun-20,957271.00
Jul-20,1001201.00
Aug-20,1028355.00
Sep-20,1049528.00
Oct-20,1040383.00
Nov-20,1014207.00
Dec-20,1029922.00
Jan-21,992560.00
Feb-21,1073951.00
Mar-21,1110190.00
Apr-21,1194815.00
May-21,1178434.00
Jun-21,1205978.00
Jul-21,1180189.00
Aug-21,1199598.00
Sep-21,1157007.00
Oct-21,1161881.00
Nov-21,1167711.00
Dec-21,1229413.00
