Date,Average Sale Price
Jan-13,406898.00
Feb-13,451962.00
Mar-13,480434.00
Apr-13,505263.00
May-13,522182.00
Jun-13,526638.00
Jul-13,519308.00
Aug-13,515897.00
Sep-13,536207.00
Oct-13,517364.00
Nov-13,509558.00
Dec-13,537873.00
Jan-14,529464.00
Feb-14,501795.00
Mar-14,550700.00
Apr-14,550473.00
May-14,535607.00
Jun-14,583476.00
Jul-14,558996.00
Aug-14,564507.00
Sep-14,572823.00
Oct-14,544647.00
Nov-14,545198.00
Dec-14,564110.00
Jan-15,570005.00
Feb-15,562491.00
Mar-15,588999.00
Apr-15,562919.00
May-15,588373.00
Jun-15,587166.00
Jul-15,574206.00
Aug-15,577076.00
Sep-15,572047.00
Oct-15,568123.00
Nov-15,591810.00
Dec-15,583891.00
Jan-16,582143.00
Feb-16,569762.00
Mar-16,593154.00
Apr-16,606136.00
May-16,623595.00
Jun-16,624818.00
Jul-16,589937.00
Aug-16,604016.00
Sep-16,616379.00
Oct-16,623715.00
Nov-16,610240.00
Dec-16,624238.00
Jan-17,602466.00
Feb-17,627430.00
Mar-17,615974.00
Apr-17,650461.00
May-17,655242.00
Jun-17,679479.00
Jul-17,662357.00
Aug-17,660560.00
Sep-17,658636.00
Oct-17,653392.00
Nov-17,657065.00
Dec-17,673659.00
Jan-18,652480.00
Feb-18,665134.00
Mar-18,690067.00
Apr-18,695618.00
May-18,695831.00
Jun-18,716060.00
Jul-18,705464.00
Aug-18,709208.00
Sep-18,722756.00
Oct-18,716843.00
Nov-18,696929.00
Dec-18,708571.00
Jan-19,665845.00
Feb-19,677161.00
Mar-19,687192.00
Apr-19,702216.00
May-19,714686.00
Jun-19,713281.00
Jul-19,700601.00
Aug-19,728950.00
Sep-19,700746.00
Oct-19,715360.00
Nov-19,730053.00
Dec-19,710689.00
Jan-20,739194.00
Feb-20,718673.00
Mar-20,757566.00
Apr-20,721407.00
May-20,699513.00
Jun-20,747848.00
Jul-20,787882.00
Aug-20,817330.00
Sep-20,827339.00
Oct-20,848976.00
Nov-20,814553.00
Dec-20,819250.00
Jan-21,834462.00
Feb-21,854054.00
Mar-21,864129.00
Apr-21,947141.00
May-21,969538.00
Jun-21,980530.00
Jul-21,954219.00
Aug-21,931572.00
Sep-21,959249.00
Oct-21,984390.00
Nov-21,964853.00
Dec-21,948866.00
