Date,Average Sale Price
Jan-13,608333.00
Feb-13,797000.00
Mar-13,944444.00
Apr-13,512755.00
May-13,510200.00
Jun-13,567500.00
Jul-13,575857.00
Aug-13,759600.00
Sep-13,750000.00
Oct-13,826712.00
Nov-13,894600.00
Dec-13,615667.00
Jan-14,807786.00
Feb-14,931083.00
Mar-14,812640.00
Apr-14,900045.00
May-14,895235.00
Jun-14,936611.00
Jul-14,834078.00
Aug-14,820487.00
Sep-14,920429.00
Oct-14,992040.00
Nov-14,1066900.00
Dec-14,837134.00
Jan-15,917585.00
Feb-15,882000.00
Mar-15,949679.00
Apr-15,886962.00
May-15,951241.00
Jun-15,1119688.00
Jul-15,871482.00
Aug-15,999881.00
Sep-15,933000.00
Oct-15,917829.00
Nov-15,943700.00
Dec-15,972947.00
Jan-16,1125610.00
Feb-16,1179688.00
Mar-16,1089444.00
Apr-16,1212987.00
May-16,989169.00
Jun-16,1112095.00
Jul-16,1239440.00
Aug-16,924467.00
Sep-16,1109659.00
Oct-16,1120000.00
Nov-16,908600.00
Dec-16,1044580.00
Jan-17,1243283.00
Feb-17,1109200.00
Mar-17,1129096.00
Apr-17,1150171.00
May-17,1120831.00
Jun-17,1134768.00
Jul-17,1196900.00
Aug-17,1250901.00
Sep-17,1353765.00
Oct-17,1373421.00
Nov-17,1197744.00
Dec-17,1121759.00
Jan-18,1059118.00
Feb-18,1512500.00
Mar-18,1309940.00
Apr-18,1318955.00
May-18,1242559.00
Jun-18,1254474.00
Jul-18,1201891.00
Aug-18,1403541.00
Sep-18,1284604.00
Oct-18,1183799.00
Nov-18,1073294.00
Dec-18,1228818.00
Jan-19,1075667.00
Feb-19,1034189.00
Mar-19,1378757.00
Apr-19,1452435.00
May-19,1392323.00
Jun-19,1469188.00
Jul-19,1265280.00
Aug-19,1327712.00
Sep-19,1366714.00
Oct-19,1227035.00
Nov-19,1350364.00
Dec-19,1142853.00
Jan-20,1213708.00
Feb-20,1310771.00
Mar-20,1185680.00
Apr-20,1324188.00
May-20,1297833.00
Jun-20,1367545.00
Jul-20,1368655.00
Aug-20,1239471.00
Sep-20,1235167.00
Oct-20,1328759.00
Nov-20,1390311.00
Dec-20,1267533.00
Jan-21,1416690.00
Feb-21,1645957.00
Mar-21,1238638.00
Apr-21,1406826.00
May-21,1405314.00
Jun-21,1320948.00
Jul-21,1389853.00
Aug-21,1417743.00
Sep-21,1299675.00
Oct-21,1431147.00
Nov-21,1647868.00
Dec-21,1412994.00
